Circuit Sizes,GidNET Average Runtime,GidNET Stdev Runtime,GidNET Width
6,"[0.007529865891431524, 0.007559154295761671, 0.008304731938489048, 0.008041692205713064, 0.008194742169996192, 0.00820636563851232, 0.008452033117147428, 0.007748830882815777, 0.007576128891419752, 0.008126684354293891, 0.007941104232865785, 0.006823559398596574, 0.008631926692822683, 0.009141633135690688, 0.007567094871441701, 0.007563603672897443, 0.0077665916886014335, 0.0072221989785404206, 0.006704588574315754, 0.007505097798587356]","[0.0007050379338746236, 0.0003895342918103091, 0.0006905365207547109, 0.0007094013358076143, 0.0006097887600538603, 0.00047840850957976173, 0.0010132599055840893, 0.0008020001477603686, 0.0005076412073487474, 0.0006653357145242567, 0.0007446702355365532, 0.0005040912496263129, 0.0009018692064228901, 0.002350850875284781, 0.00046515733436365564, 0.00024999460827800616, 0.0004839877991585453, 0.0002554615596634478, 0.0007263393806228315, 0.00042241277006017615]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
10,"[0.0272370520563397, 0.013127312670029435, 0.0272727442996776, 0.028247122713946738, 0.02850657247181516, 0.013077396755647246, 0.029773000856844842, 0.031232700185085248, 0.0249251462718738, 0.027043122111437175, 0.03197131088527385, 0.026897632600490138, 0.029954208570831857, 0.013167690032818688, 0.02787091838503589, 0.027807350028472556, 0.026350187043343406, 0.02731304452879288, 0.013938839250061261, 0.014381483827143842]","[0.0010172819402985203, 0.0004746906254690133, 0.0029514864464148484, 0.0013234752857074, 0.002631843774962415, 0.0006273648744477332, 0.0013364015755300072, 0.003201616975566378, 0.0024561511476323926, 0.00071126473076485, 0.0016496120585798048, 0.0013664910943318918, 0.0024051243238327373, 0.00037308036587174113, 0.00232403636583053, 0.0012457003839627884, 0.0022931119732723677, 0.002173834130352236, 0.0013392423476895174, 0.0017787926332271937]","[9, 10, 9, 9, 9, 10, 8, 8, 9, 9, 7, 9, 8, 10, 8, 9, 9, 9, 10, 10]"
14,"[0.04405841657052016, 0.040188918728381394, 0.05753162404289469, 0.062492874985660564, 0.06359942317150333, 0.042868685513635034, 0.04456899678542479, 0.03712355435667892, 0.03796033069998624, 0.04667823539971973, 0.04390034057141747, 0.04215584881478988, 0.041506531114074666, 0.039338952300853894, 0.050256571629350745, 0.05023168898603347, 0.03810081257168869, 0.037777633770851284, 0.04605914761362199, 0.053052228071360986]","[0.010195056780896548, 0.0035560633410176502, 0.0012630512984208686, 0.009254849308296146, 0.004322090897257256, 0.003558503641096652, 0.002068226186451094, 0.0013011994786563414, 0.004026885520348877, 0.003281406376655652, 0.0026438129054728774, 0.007372151226995232, 0.0029433704185196268, 0.0015092676155442023, 0.004297736798605829, 0.0042055000423637376, 0.004011735942041477, 0.004448051369508804, 0.01363236997374943, 0.002555223368658648]","[12, 12, 8, 10, 9, 12, 11, 13, 13, 10, 10, 12, 12, 12, 9, 10, 11, 13, 12, 11]"
18,"[0.06541422079982502, 0.05516719068650023, 0.06406290798581073, 0.08806700228555461, 0.06518869845728789, 0.07108168461376668, 0.06929975719997726, 0.0630174529568259, 0.06158643632869436, 0.06676412392781848, 0.06728047384240199, 0.07504688467140243, 0.059996868542761414, 0.0861111464577594, 0.06036146858574024, 0.05283853228569829, 0.06133870704340682, 0.07172347698610142, 0.062185845586022234, 0.06923910389970322]","[0.008240420456849487, 0.007632053697885453, 0.007721478024659093, 0.007211804883766157, 0.0036453149697549315, 0.003825814449721036, 0.0035343533363754024, 0.0051881940798991, 0.008729698071510205, 0.006971656104886099, 0.0027826074697848485, 0.005683264673170172, 0.010148075377595413, 0.007291678956300166, 0.0047280839978498974, 0.00536834301518809, 0.005820599419706846, 0.010049718262311142, 0.002638176603663244, 0.005813388383094565]","[15, 16, 14, 11, 15, 13, 14, 14, 15, 14, 13, 11, 15, 12, 14, 16, 16, 14, 15, 15]"
22,"[0.10488529927180415, 0.1064735633570568, 0.09511572635674383, 0.09852282850063473, 0.10112048381457238, 0.09017371199941927, 0.11484821314308127, 0.09930948068587375, 0.08715127998605436, 0.0917607928281151, 0.10063951838570315, 0.10321494142824252, 0.11091267835747984, 0.08788106052836935, 0.09823465804261754, 0.09641785347152368, 0.098039550057313, 0.07972655315783674, 0.08158630265679677, 0.09520289944193792]","[0.010873661091591068, 0.007355731578069446, 0.007174517327754256, 0.008601256894027015, 0.011913771943534402, 0.007760726643172331, 0.003785636752409246, 0.006875711429844927, 0.0033990212868812318, 0.006757574861196813, 0.006003809568395112, 0.0041502086154570125, 0.008013853938711941, 0.004657610956455687, 0.007069503252002793, 0.004076328348996284, 0.010419232927314143, 0.006148709970718378, 0.004754471174555559, 0.004252898557243985]","[16, 14, 16, 16, 16, 15, 12, 16, 18, 17, 15, 15, 13, 16, 15, 16, 14, 17, 18, 15]"
26,"[0.1363702068146917, 0.1197122435280887, 0.11861514417188508, 0.12030103832824222, 0.11063580135731692, 0.15019020578599468, 0.14442528402890145, 0.13035243478578715, 0.11449823798570183, 0.12860280204289926, 0.166304427643107, 0.13069381965698473, 0.1381593611860548, 0.14026258542809436, 0.14473562371401516, 0.13518807904370728, 0.12281641877073395, 0.12360956050064746, 0.1419857777567813, 0.14958236640127973]","[0.007689727684249431, 0.004150306550856442, 0.006945382808020373, 0.008148402462746016, 0.005233545359111628, 0.010314284483798062, 0.0038098387074481845, 0.007711223362893427, 0.004621717219085249, 0.005790499365519897, 0.009241110273289468, 0.006064530007992027, 0.007030238920433964, 0.01331695924370163, 0.011861790557801039, 0.0037945390441647404, 0.022419449484666273, 0.01744137365255868, 0.008927216478958534, 0.010839812341892905]","[16, 18, 20, 18, 21, 14, 16, 18, 21, 19, 13, 17, 16, 16, 18, 17, 18, 18, 16, 16]"
30,"[0.1808278324144859, 0.17871181642819595, 0.19437586871208623, 0.181786251642708, 0.19032183856636817, 0.14816440995741037, 0.1821348529570969, 0.19116363192816996, 0.22067282285258574, 0.18352067068585062, 0.15004998492866956, 0.15794179929985797, 0.16414107234242173, 0.20747489742435782, 0.1625030519993743, 0.18495584042767793, 0.19883664914232213, 0.16499953190006117, 0.1666400688700378, 0.17135077837156132]","[0.01635756865112015, 0.005330661243777529, 0.0111419074878718, 0.011946381093390832, 0.017871233073124798, 0.012481214129935735, 0.02559913277732406, 0.016667153249127414, 0.008355101096971875, 0.01451288474106425, 0.005376069022464483, 0.007327017418418335, 0.004696738029884401, 0.008988657608175077, 0.007717743251634942, 0.015905061553999077, 0.020764821930697997, 0.01128676596463661, 0.014228633203968622, 0.0046567887011331735]","[19, 21, 20, 20, 17, 24, 21, 18, 17, 20, 23, 21, 21, 18, 23, 19, 18, 21, 19, 21]"
34,"[0.24941252071377157, 0.2829096215677315, 0.3033984081495354, 0.38853875142688465, 0.23132265500940516, 0.25974269970486474, 0.23694532686412068, 0.3122780377078535, 0.28134625271611313, 0.27246377828747165, 0.2379243628487789, 0.2483695828621941, 0.23939310728539048, 0.26639439114452607, 0.3006423308563951, 0.23965741117094044, 0.2794632811481798, 0.24533404428179242, 0.26667843571132316, 0.21100464285284812]","[0.012237238435098751, 0.014793955873822755, 0.02527659988694534, 0.04397293212550671, 0.023225707634136422, 0.02093606721969436, 0.08381273442589189, 0.04457944021308819, 0.021054306203457926, 0.02137432377586421, 0.016707838620520738, 0.028616899699323742, 0.03673722788416385, 0.02060189968918282, 0.016021177467760918, 0.01123630685588766, 0.0486716161477221, 0.016078046829227557, 0.05575963200191054, 0.04783724595025588]","[23, 20, 24, 20, 23, 22, 23, 20, 21, 21, 24, 21, 23, 21, 18, 22, 22, 24, 21, 24]"
38,"[0.4193869494275922, 0.32797500913979355, 0.2578197859984357, 0.28902458856464364, 0.4143624905721351, 0.29591252199523815, 0.3180461044290236, 0.3106763661448245, 0.36265112514125314, 0.34567640043262926, 0.29032319656939115, 0.32265390642818864, 0.3089774879959545, 0.31453938943533494, 0.39553344258040724, 0.3447453192909182, 0.32948228170945576, 0.3398856635737632, 0.296671219432028, 0.3897154132885459]","[0.02904715379516493, 0.04697693903128382, 0.059788948680490894, 0.014397124516613322, 0.04149399682026056, 0.030212262513254106, 0.04150207809501146, 0.04732307620384085, 0.0484419327040243, 0.0076575524219248976, 0.035442007105311805, 0.04427004026493552, 0.040235529887251126, 0.026919084079984817, 0.036941173253505356, 0.042717980070026265, 0.02639878922108784, 0.022668948065451267, 0.05559557256333865, 0.022566066110304924]","[21, 22, 24, 27, 21, 27, 25, 25, 21, 23, 24, 22, 24, 27, 22, 23, 24, 25, 23, 20]"
42,"[0.4888162720058712, 0.5535935151399046, 0.4251808070028866, 0.3922672258631792, 0.4548809285749615, 0.3807285602878047, 0.46678870256956934, 0.34449572642500115, 0.36136165613424964, 0.3734250531415455, 0.3904290408577903, 0.4031392310030891, 0.3887870150002917, 0.39984350343002006, 0.33401090742388206, 0.39368271885905415, 0.44034177143060205, 0.3952376568590158, 0.4443399781510899, 0.38937428656832446]","[0.07009141023078388, 0.1661343812130499, 0.02774656639820219, 0.007458362022552228, 0.022685320102746116, 0.01573277099883438, 0.0188906213504131, 0.03142316190847757, 0.05449428247394773, 0.026788779133485797, 0.023613768469325155, 0.027082035266386986, 0.03047928921220014, 0.03316752122001081, 0.032647813349043174, 0.0372115465618349, 0.04909669583331876, 0.09007739269804531, 0.03263182278965842, 0.022323468230732918]","[23, 25, 27, 27, 24, 28, 23, 30, 27, 24, 28, 25, 24, 24, 29, 25, 24, 26, 26, 27]"
46,"[0.49672916214331053, 0.5057713495750379, 0.5378702234302182, 0.5575853185728192, 0.6265338974356253, 0.4511846599925775, 0.5050052318588963, 0.4860467474292299, 0.5533007750013245, 0.5294869604320931, 0.5199013607218929, 0.4966578467158667, 0.5425631358562636, 0.4115018719998521, 0.4762255625641306, 0.5271894724282902, 0.3894701618576489, 0.484519346284547, 0.49999123429214315, 0.4577869570015797]","[0.03845580237753225, 0.028911991863638832, 0.026739189553876257, 0.032422040308756755, 0.04173719029009452, 0.05014949592077032, 0.027667641735935222, 0.08668379804908805, 0.014743893438461775, 0.03117183060361171, 0.0492507421627698, 0.030211293029489182, 0.013161954360425852, 0.04992765443708164, 0.03599461450749253, 0.02339540995130812, 0.037656074024075385, 0.026381836741284477, 0.03966992723181853, 0.03160090114320061]","[27, 28, 30, 25, 24, 32, 29, 30, 28, 29, 25, 26, 26, 30, 29, 27, 33, 26, 26, 29]"
50,"[0.6087788085735936, 0.5160162422855917, 0.5955062828517319, 0.6082284458596925, 0.6080573022773024, 0.597819249864967, 0.5227074752910994, 0.6332074972867433, 0.5408144801414372, 0.4466992307154994, 0.5587235987144855, 0.5103347680040835, 0.49530302741914056, 0.6195956950001086, 0.6221223811402784, 0.6405014027093004, 0.6399825720083234, 0.6120820725669286, 0.5227391604192755, 0.57772466242646]","[0.05680906190512717, 0.05927787950803004, 0.018594240365303594, 0.052643187618201255, 0.027543316805670966, 0.09088862060428003, 0.03353653388890169, 0.04193360807602005, 0.016454539795651542, 0.08599625789388055, 0.10482492824182998, 0.04685695503508558, 0.05590908730747739, 0.04344324221287134, 0.03420452175958545, 0.024514254196744016, 0.010942809582878656, 0.05090392592285469, 0.028735928941497093, 0.027426724565563644]","[29, 33, 30, 28, 26, 28, 33, 29, 33, 31, 28, 33, 36, 28, 27, 29, 27, 28, 31, 30]"
