Circuit Size,GidNET Mean Runtime,GidNET Stdev Runtime,GidNET Min Width,QNET Mean Runtime,QNET Stdev Runtime,QNET Min Width
6,"[0.009242796897888183, 0.00931253433227539, 0.009145236015319825, 0.009360408782958985, 0.009342670440673828, 0.009233617782592773, 0.00938880443572998, 0.00919029712677002, 0.010927534103393555, 0.009734511375427246, 0.009696722030639648, 0.015178179740905762, 0.009482121467590332, 0.009906005859375, 0.009409427642822266, 0.01090378761291504, 0.012435269355773926, 0.008984804153442383, 0.009408783912658692, 0.009266328811645509]","[0.0006168834451007098, 0.0006171578574243958, 0.0009041313710490052, 0.0005515557826902858, 0.0007241260451186459, 0.0006877707262107055, 0.0008609013898162592, 0.0007211915906537379, 0.0016974640350951743, 0.0011519486024776625, 0.0008397624193469191, 0.013749378065742397, 0.0007211795155203243, 0.0011621437019083138, 0.0005021647366803961, 0.002928323027125932, 0.0036315792514686764, 0.0005091749029150008, 0.0007926723625512248, 0.0009227148180030055]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[0.0012810468673706056, 0.0013466596603393555, 0.0012830495834350586, 0.001356649398803711, 0.0013167142868041992, 0.0014232397079467773, 0.0013864994049072265, 0.0012439966201782226, 0.0016542434692382812, 0.0012961387634277343, 0.0012831687927246094, 0.0014019012451171875, 0.0014240503311157226, 0.0014249563217163086, 0.0014834403991699219, 0.001769256591796875, 0.0014137983322143554, 0.0020066261291503905, 0.0013806819915771484, 0.0013919830322265624]","[0.00018351421858500716, 0.00013940499870552966, 0.00017229424647329173, 0.0001344436765403055, 0.00032216997276029557, 0.00014766216555244408, 0.0001429589371717495, 0.00012098821125718358, 0.00032734885149769975, 0.0002225884894766996, 0.00010334591516775035, 0.00039939510046345145, 0.00017598070691407532, 0.00014801934986394187, 0.00013560413785571103, 0.00030092483947963207, 0.00014476329473973342, 0.001620458513868488, 0.00026221823352748244, 0.00028614815106068123]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
10,"[0.028910899162292482, 0.015887451171875, 0.030736732482910156, 0.02701539993286133, 0.03193178176879883, 0.016063380241394042, 0.026424622535705565, 0.0268648624420166, 0.025299072265625, 0.02677938938140869, 0.03092479705810547, 0.025268363952636718, 0.02647702693939209, 0.01566927433013916, 0.026644349098205566, 0.03304736614227295, 0.028225278854370116, 0.030338644981384277, 0.016243505477905273, 0.01605091094970703]","[0.0033921250200152583, 0.0005083313774839211, 0.014141251035571028, 0.0033569849410654586, 0.01400541654725663, 0.0010395733787312645, 0.0008239277897691216, 0.0025203814038261946, 0.0007361998743462728, 0.0038572639319098545, 0.004475937407586121, 0.0011866479060278839, 0.0012906152959312688, 0.0005397127358736592, 0.001604230098695862, 0.015683649919771014, 0.0017157107010980258, 0.01427946703079697, 0.0004410280615749811, 0.0008381079257949263]","[9, 10, 9, 9, 9, 10, 8, 8, 9, 9, 7, 9, 8, 10, 8, 9, 9, 9, 10, 10]","[0.005269694328308106, 0.002196502685546875, 0.003822064399719238, 0.004208803176879883, 0.003644108772277832, 0.0022628307342529297, 0.007884335517883301, 0.006771564483642578, 0.0038281679153442383, 0.004144716262817383, 0.009001517295837402, 0.003436851501464844, 0.006846308708190918, 0.0021860361099243163, 0.005390739440917969, 0.0060958385467529295, 0.00390625, 0.0036071300506591796, 0.002146124839782715, 0.0023038625717163087]","[0.0023594657537060883, 0.0002760246718121342, 0.0002523705978058734, 0.00029171874747634027, 0.0003805066595436014, 0.0002804123201647395, 0.0005806156219388037, 0.0008117604552266604, 0.00023597917127526173, 0.0003066067339655191, 0.0005455276285737716, 0.0003075343091745344, 0.0004738319138457473, 0.00020064961006385423, 0.00033577573237022535, 0.0015804715126975927, 0.0005720006758223264, 0.000569786447846031, 0.00028300398321818015, 0.0002542401299597542]","[9, 10, 9, 9, 9, 10, 8, 8, 9, 9, 7, 9, 8, 10, 8, 9, 9, 9, 10, 10]"
14,"[0.03863658905029297, 0.02793729305267334, 0.04966914653778076, 0.045872831344604494, 0.04693858623504639, 0.043564367294311526, 0.04397413730621338, 0.04245450496673584, 0.03721263408660889, 0.04155476093292236, 0.039223551750183105, 0.04319634437561035, 0.04367353916168213, 0.04249680042266846, 0.04969265460968018, 0.046667623519897464, 0.0393618106842041, 0.03695802688598633, 0.03651320934295654, 0.03857719898223877]","[0.0014631402094108636, 0.010087414553501975, 0.0206136587280045, 0.014779745804534821, 0.014329420044560203, 0.017796455857019687, 0.015227517993463866, 0.015333264592273356, 0.000789280991371953, 0.001618520057450838, 0.0011083289648230854, 0.013912774877898626, 0.014609191482746442, 0.014105170307824686, 0.013931241412541675, 0.014022426786625079, 0.0016895334542651123, 0.0007261059398083608, 0.0006494906778363063, 0.0005235416988292838]","[12, 12, 8, 10, 9, 12, 11, 13, 13, 10, 10, 12, 12, 12, 9, 10, 11, 13, 12, 11]","[0.018025588989257813, 0.01100163459777832, 0.05536470413208008, 0.031085705757141112, 0.051055312156677246, 0.008965063095092773, 0.01725296974182129, 0.008668327331542968, 0.007643651962280273, 0.04201231002807617, 0.031738686561584475, 0.013142085075378418, 0.010552740097045899, 0.011490559577941895, 0.03792362213134766, 0.0381284236907959, 0.022340798377990724, 0.006539773941040039, 0.01734151840209961, 0.020937347412109376]","[0.013946794160040545, 0.0013556677850069723, 0.002422489791477484, 0.0009669600334278396, 0.0013796897843334236, 0.0004937466853357924, 0.00036746360940332235, 0.0012225465536517975, 0.0007024133983020478, 0.015421798084500997, 0.0003957465323986577, 0.0004871996882771604, 0.0005007163465297923, 0.0005324719237317918, 0.0006017194269220178, 0.001307523818732078, 0.0010750669856988422, 0.00043048628885469857, 0.014843755901183397, 0.0007843582685754148]","[12, 12, 8, 10, 9, 12, 11, 13, 13, 10, 10, 12, 12, 12, 10, 10, 11, 13, 12, 11]"
18,"[0.06057450771331787, 0.057792830467224124, 0.05985438823699951, 0.06527574062347412, 0.06040191650390625, 0.061599135398864746, 0.05964119434356689, 0.06053915023803711, 0.05848996639251709, 0.05983521938323975, 0.059260439872741696, 0.06597232818603516, 0.06054220199584961, 0.060809087753295896, 0.06672072410583496, 0.05178823471069336, 0.0575098991394043, 0.061459684371948244, 0.05785179138183594, 0.054433798789978026]","[0.016172560707266137, 0.014373000164136033, 0.015004428763236795, 0.01518476383968594, 0.01503285425684341, 0.018203953217991335, 0.014888533533475117, 0.016434268156813762, 0.015345677756606998, 0.015239614851990095, 0.015078726464262008, 0.01863099819294093, 0.015100421049619617, 0.015544232570914763, 0.01901339399704875, 0.002294542652709317, 0.014686759979032304, 0.015451223034277178, 0.014530533380871962, 0.0013819792440024868]","[15, 16, 14, 11, 15, 13, 14, 14, 15, 14, 13, 11, 15, 12, 14, 16, 16, 14, 15, 15]","[0.050034379959106444, 0.01841111183166504, 0.06484220027923585, 0.13161759376525878, 0.0336552619934082, 0.07135086059570313, 0.06864924430847168, 0.07747535705566407, 0.03377721309661865, 0.0583327054977417, 0.07285242080688477, 0.16922485828399658, 0.039472103118896484, 0.08025922775268554, 0.05612649917602539, 0.019917392730712892, 0.024629664421081544, 0.0765254020690918, 0.044014573097229004, 0.05731945037841797]","[0.005330047832097475, 0.0006292653495313207, 0.014426919641905421, 0.010824873522152821, 0.0009319478340102232, 0.0032380217902187036, 0.014191534315574524, 0.00843380779652348, 0.0029136949693616084, 0.0026035679267206076, 0.01633305051128725, 0.0038769901636303656, 0.0015746898117955988, 0.004692691928012111, 0.015957768584013887, 0.0013516706885183462, 0.0009559143762210921, 0.0013105577297680992, 0.015225131013040592, 0.00500925542084032]","[15, 16, 14, 11, 15, 13, 15, 14, 15, 14, 13, 11, 15, 13, 14, 16, 16, 14, 15, 15]"
22,"[0.08474211692810059, 0.08966982364654541, 0.08463621139526367, 0.07957141399383545, 0.08746104240417481, 0.08506605625152588, 0.08665852546691895, 0.08386328220367431, 0.07675087451934814, 0.07762861251831055, 0.0850329875946045, 0.08841016292572021, 0.09473931789398193, 0.07795839309692383, 0.08609244823455811, 0.08338432312011719, 0.08496665954589844, 0.080418062210083, 0.08042511940002442, 0.08728177547454834]","[0.02108516233384026, 0.021828959396640594, 0.016799098075815325, 0.01519587240375001, 0.01959419152572579, 0.016268814635861818, 0.017884154965402087, 0.02079734278281033, 0.01436875071653996, 0.01720322773149218, 0.019911167867386538, 0.023238260624064793, 0.021121298463907538, 0.015496777744859486, 0.02113280565217476, 0.018899621964376803, 0.016132859354550826, 0.019877662775077406, 0.020368964829292385, 0.018616927470513515]","[16, 14, 16, 16, 16, 15, 12, 16, 17, 17, 15, 15, 14, 16, 15, 16, 14, 17, 18, 15]","[0.1733388662338257, 0.4380366086959839, 0.26051356792449953, 0.20126254558563234, 0.21976141929626464, 0.2114382266998291, 0.39743239879608155, 0.17780330181121826, 0.1278362512588501, 0.18736813068389893, 0.16878247261047363, 0.26384496688842773, 0.27047104835510255, 0.18801743984222413, 0.2507359981536865, 0.17932617664337158, 0.3130680561065674, 0.1169630765914917, 0.11273713111877441, 0.20972590446472167]","[0.003801164414668564, 0.011421033046990815, 0.017184783716900777, 0.027576508349361182, 0.0034040335978279676, 0.005428304391592052, 0.015104139231625352, 0.013619064341530924, 0.004103091772604132, 0.01258758171133866, 0.0039987691668796595, 0.010801729859281278, 0.012376759077049701, 0.002818337580874975, 0.027954641036063096, 0.004667775489231936, 0.01770689502518126, 0.011687294310926515, 0.0026545058458414456, 0.010213766974096738]","[16, 14, 16, 17, 16, 16, 12, 16, 18, 17, 15, 15, 13, 17, 15, 16, 14, 17, 18, 15]"
26,"[0.11381919384002685, 0.1130558729171753, 0.1057208776473999, 0.11459138393402099, 0.09503016471862794, 0.11493875980377197, 0.11030771732330322, 0.10376040935516358, 0.10707011222839355, 0.10814383029937744, 0.12637016773223878, 0.1066324234008789, 0.1053931713104248, 0.10711612701416015, 0.11028988361358642, 0.10306179523468018, 0.10329620838165283, 0.09952423572540284, 0.1003328800201416, 0.11167256832122803]","[0.023727171544608683, 0.028012643320513106, 0.020349296395739777, 0.017284317681298882, 0.01590750779891718, 0.014691387678168983, 0.018086082284948162, 0.015445994694459198, 0.018701507599002402, 0.025249846319181316, 0.016584101287365545, 0.01579027391306996, 0.014337005613375675, 0.015609010946719936, 0.01692493419641996, 0.01636300007056303, 0.017147802706249438, 0.01570276547624427, 0.016135452492224284, 0.020308484719331252]","[16, 18, 20, 18, 21, 14, 16, 18, 21, 19, 13, 17, 17, 16, 18, 17, 18, 18, 16, 16]","[0.5910604476928711, 0.5366147994995117, 0.4151679515838623, 0.4175072908401489, 0.2969642162322998, 1.0454766035079956, 0.6339094638824463, 0.4446511507034302, 0.3051668405532837, 0.5433901071548461, 1.1965604305267334, 0.6411604166030884, 0.7145670890808106, 0.6903696537017823, 0.5568430423736572, 0.6361207246780396, 0.5018522024154664, 0.45499796867370607, 0.6096994638442993, 0.5776174545288086]","[0.02263658620022335, 0.02463386916358761, 0.02662672444677118, 0.021251762978828012, 0.01663681115919544, 0.02894706097136673, 0.023256281259736514, 0.02291373482862715, 0.01059763184428798, 0.02725774235823661, 0.03374586958136122, 0.024789611129621712, 0.03246240730538747, 0.03439437777455396, 0.035857018354328744, 0.018689087780008974, 0.013227346851000651, 0.023472793790793246, 0.011285922225269172, 0.013626432324128931]","[16, 18, 20, 19, 21, 14, 17, 19, 21, 20, 13, 17, 16, 16, 18, 17, 19, 18, 16, 16]"
30,"[0.12979586124420167, 0.1290494680404663, 0.13119337558746338, 0.1425243854522705, 0.13690383434295655, 0.12797513008117675, 0.13139700889587402, 0.14355413913726806, 0.14554264545440673, 0.13441531658172606, 0.1321016311645508, 0.12984941005706788, 0.13004508018493652, 0.15643548965454102, 0.1415479898452759, 0.14303269386291503, 0.13879928588867188, 0.1365084171295166, 0.13560087680816652, 0.1302560806274414]","[0.02211165815728349, 0.02077242259278521, 0.020492217097113328, 0.02054231808172242, 0.02183617568202377, 0.02060451681548344, 0.022373678301817652, 0.030876160558844252, 0.020367192018945535, 0.020796487842118957, 0.022697470023391654, 0.02187762579934056, 0.0222194292428256, 0.02450611843868492, 0.025832131179421923, 0.022615501217436006, 0.019608443257079448, 0.020660122392350287, 0.022661319002788224, 0.02195631167718726]","[18, 21, 20, 20, 17, 24, 21, 19, 16, 20, 23, 21, 21, 17, 23, 19, 19, 21, 19, 21]","[1.3595542907714844, 1.04254047870636, 1.3622608184814453, 0.7539888143539428, 1.7258770704269408, 0.598438310623169, 1.2318410634994508, 1.434147024154663, 1.7508448362350464, 0.8168921709060669, 0.6271232604980469, 0.7825709819793701, 0.9872045755386353, 1.714264488220215, 0.6078346967697144, 1.211799430847168, 1.198944878578186, 0.8382836103439331, 1.1921005249023438, 0.9096314907073975]","[0.041548829480696256, 0.0246835703098725, 0.09040257202249673, 0.027376713939225344, 0.041336231609395466, 0.0332347728075015, 0.05361167395087617, 0.04242752953450808, 0.06651591429172786, 0.024721497054836866, 0.010461098789761739, 0.0229490420601385, 0.047215678435035074, 0.06107980612621481, 0.03682376581972287, 0.056822563105613184, 0.024105940719015947, 0.03262570190237117, 0.025494482808441712, 0.018642718937963158]","[19, 22, 21, 21, 17, 24, 21, 19, 16, 21, 23, 21, 21, 18, 23, 19, 19, 21, 19, 21]"
34,"[0.1827486276626587, 0.17167367935180664, 0.16606175899505615, 0.1862264394760132, 0.1672494649887085, 0.16631615161895752, 0.15993866920471192, 0.17464282512664794, 0.17608556747436524, 0.169632625579834, 0.1632689952850342, 0.17147915363311766, 0.1816555976867676, 0.18234105110168458, 0.1756442070007324, 0.167236590385437, 0.1760688066482544, 0.1628026247024536, 0.171781587600708, 0.1596371650695801]","[0.030178192719500112, 0.025141465018792237, 0.02192976625599519, 0.0295289652166221, 0.024156671408921977, 0.024225262554126603, 0.024083136711168553, 0.028580521634008402, 0.026882274104894435, 0.024434425786281733, 0.02206099403763083, 0.02413255773297334, 0.02444303401836475, 0.03467780031374138, 0.022416313137898585, 0.028763859254012848, 0.03189155273216943, 0.021267208001165168, 0.022477982680351758, 0.02782412445097204]","[23, 21, 23, 20, 23, 22, 23, 20, 21, 21, 24, 21, 23, 21, 18, 21, 22, 24, 21, 24]","[2.1286040544509888, 2.571220111846924, 1.4187670469284057, 2.7645136594772337, 1.8657395124435425, 2.390412211418152, 1.4718024253845214, 2.845927333831787, 3.1192686557769775, 2.6918632984161377, 2.102126955986023, 2.713785767555237, 2.3015236377716066, 2.270928406715393, 3.5837756872177122, 1.9968745231628418, 2.404477095603943, 1.8456416606903077, 2.708298397064209, 1.7581750869750976]","[0.042701597812335575, 0.040481423462614775, 0.034375419379810486, 0.06764562917561666, 0.02849152044173339, 0.032655816192160375, 0.06403648690214844, 0.042809221751526995, 0.05543298274751096, 0.023692294268624906, 0.056919279989098404, 0.13588915317141612, 0.07131575618819336, 0.039858905367877416, 0.055599814948673776, 0.029683035830278443, 0.03876052649184973, 0.04962018607291863, 0.04382400936680944, 0.06166982676434611]","[23, 21, 24, 21, 24, 23, 24, 22, 21, 21, 24, 22, 23, 23, 18, 23, 21, 24, 22, 23]"
38,"[0.225364089012146, 0.24407422542572021, 0.22153761386871337, 0.2003835678100586, 0.21540253162384032, 0.19679675102233887, 0.2132035732269287, 0.2129455804824829, 0.22275748252868652, 0.21555776596069337, 0.21713201999664306, 0.21348090171813966, 0.20537102222442627, 0.20052332878112794, 0.22694044113159179, 0.21693155765533448, 0.205930495262146, 0.20957703590393068, 0.21335189342498778, 0.2227478265762329]","[0.03238351045232575, 0.03591400244352454, 0.029507399892469473, 0.034723654510192555, 0.021982761338744182, 0.025560730364218933, 0.023685648725108706, 0.03194152579994135, 0.030077375204734202, 0.027409389623963405, 0.028015534164443946, 0.0249169970791404, 0.02825093329675632, 0.02692322159497651, 0.04222907908860833, 0.026369576200238085, 0.02667572233970048, 0.02617100719574434, 0.02632003512535948, 0.023356034796294795]","[20, 22, 23, 27, 21, 26, 25, 25, 22, 22, 24, 22, 24, 26, 22, 23, 24, 25, 23, 20]","[5.820634269714356, 5.617436075210572, 5.714571404457092, 3.3048370122909545, 5.691585421562195, 3.441834282875061, 3.944574499130249, 3.709877038002014, 5.807846212387085, 5.168494629859924, 4.32432370185852, 5.9932817935943605, 4.17991623878479, 3.2517908573150636, 5.50407567024231, 5.060646510124206, 3.878435826301575, 4.1331459283828735, 4.71332368850708, 6.455712938308716]","[0.09029282472844832, 0.2683766217603672, 0.09419581607288584, 0.0789645527543278, 0.07198992811008785, 0.12041045227575892, 0.048519636971206176, 0.04014512555529633, 0.04833358088015083, 0.07791839196677249, 0.06534733633995253, 0.06491448768748201, 0.05837793216684569, 0.05071982345445466, 0.03595897451207097, 0.0939168226506589, 0.04619316900513352, 0.0716324671094065, 0.07574724640182084, 0.12127083062018165]","[20, 22, 22, 28, 22, 28, 25, 26, 22, 22, 25, 22, 24, 27, 21, 24, 24, 28, 23, 20]"
42,"[0.2675702810287476, 0.2690192461013794, 0.26304149627685547, 0.253350567817688, 0.27146248817443847, 0.25027897357940676, 0.2744875907897949, 0.2412111520767212, 0.2471155881881714, 0.2563992261886597, 0.2460854768753052, 0.25749447345733645, 0.2932396173477173, 0.2628274917602539, 0.24678306579589843, 0.26222541332244875, 0.2749487400054932, 0.2388932704925537, 0.2568443059921265, 0.23987483978271484]","[0.02487270467316192, 0.03592492087741829, 0.028046758871529617, 0.027411760063283944, 0.03077279186673899, 0.027328819491166913, 0.029675419370331302, 0.026489827984672365, 0.027086101794053463, 0.02806524642389899, 0.03255281632661575, 0.038552887542118705, 0.03348666387670267, 0.02616830895813652, 0.027678401709958188, 0.026841488398752673, 0.030334933076937097, 0.02413167618371558, 0.025898365442945832, 0.030645779698437996]","[22, 26, 27, 28, 23, 28, 23, 30, 27, 25, 28, 25, 24, 24, 29, 26, 24, 26, 26, 27]","[9.704022669792176, 9.012081742286682, 7.199350643157959, 7.193895316123962, 8.862321758270264, 6.105493021011353, 9.270959877967835, 5.687483286857605, 6.202318120002746, 7.508283352851867, 6.481710004806518, 7.81613142490387, 7.034485554695129, 8.587495279312133, 5.701846075057984, 7.773564720153809, 8.616778945922851, 7.428165054321289, 7.59220814704895, 7.6964093208312985]","[0.1292680929327953, 0.11900586693305892, 0.0903194924487032, 0.06261258533898623, 0.06278093993624367, 0.08806708271981029, 0.12645166262734106, 0.10473966054737979, 0.09465686163708731, 0.06880244331215235, 0.10093230107512143, 0.14737284455806118, 0.24520723463194466, 0.11320736969238414, 0.08628970761890671, 0.1324622338846397, 0.18037394713992486, 0.4576388676244129, 0.10962194563801848, 0.07571720359941583]","[22, 26, 27, 26, 25, 30, 25, 31, 27, 26, 29, 25, 27, 25, 29, 27, 25, 26, 29, 26]"
46,"[0.29018406867980956, 0.3018611431121826, 0.30051817893981936, 0.3186135768890381, 0.3267208576202393, 0.2948056936264038, 0.3027408361434937, 0.30641701221466067, 0.32298765182495115, 0.3604121685028076, 0.33529391288757326, 0.30124948024749754, 0.31886730194091795, 0.30845668315887453, 0.31401801109313965, 0.31548888683319093, 0.2950449466705322, 0.30405924320220945, 0.313008451461792, 0.3044097661972046]","[0.02896262428397145, 0.029778482975283935, 0.02665924421246202, 0.03929639893650273, 0.03492036501446705, 0.03050125049807548, 0.027794215669022595, 0.034909177590811906, 0.04324017094509774, 0.05861371568104111, 0.0313173631935759, 0.03039210753366779, 0.0287840714031552, 0.029509376510247487, 0.03631288624541108, 0.03625670843991047, 0.04577801243646734, 0.02972927855215738, 0.028010896094680684, 0.031097748634788105]","[27, 29, 30, 25, 24, 32, 29, 28, 28, 28, 25, 26, 27, 29, 29, 26, 33, 27, 26, 29]","[10.810827469825744, 11.766279935836792, 9.863012504577636, 14.115470743179321, 14.773817300796509, 9.787057590484618, 11.784330105781555, 11.933504962921143, 12.649255466461181, 13.415750408172608, 13.58577756881714, 13.960027956962586, 15.979283595085144, 11.601121807098389, 13.124089002609253, 13.956639742851257, 8.730250310897826, 12.726150131225586, 14.965480661392212, 10.354087281227113]","[0.15677619539223672, 0.2186910475346767, 0.18895242630939216, 0.24035122843659498, 0.12507093247863496, 0.1087913596756747, 0.13605299078925107, 0.12489739764200916, 0.1842968612807119, 0.661188953354374, 0.21611606980124493, 0.1309789286974718, 0.2458083715098729, 0.23864543941671665, 0.14000132501172155, 0.19793216996958687, 0.06850747536639311, 0.14701986223395158, 0.17255835056263552, 0.14774127117141894]","[27, 30, 30, 28, 25, 30, 30, 30, 29, 31, 28, 28, 26, 30, 29, 28, 34, 28, 27, 30]"
50,"[0.3695841312408447, 0.3382651090621948, 0.38672633171081544, 0.37561731338500975, 0.3675794839859009, 0.38162143230438234, 0.35750935077667234, 0.3682305335998535, 0.3609922409057617, 0.3661591291427612, 0.40479321479797364, 0.3722393274307251, 0.3330253601074219, 0.35411739349365234, 0.34544270038604735, 0.3779757499694824, 0.3843897104263306, 0.3753560304641724, 0.36678714752197267, 0.39412460327148435]","[0.03948307921651906, 0.02808131880934368, 0.04399645828506977, 0.031789199457123975, 0.025662474095117644, 0.038915527619610514, 0.03790675811868568, 0.034921549050714325, 0.03533077036269028, 0.03135046280588363, 0.04993550974303224, 0.042936252525615615, 0.036753019375194734, 0.033055124389887516, 0.03422640649034526, 0.03990172027897437, 0.026208768496650537, 0.029098121178149597, 0.03973708389144828, 0.03749108458175721]","[29, 33, 31, 29, 25, 28, 32, 29, 33, 32, 29, 33, 36, 28, 27, 30, 27, 28, 31, 30]","[25.28665688037872, 16.060567021369934, 17.690600180625914, 22.9405925989151, 26.07801561355591, 26.650318837165834, 15.048159861564637, 25.65345275402069, 18.169432067871092, 17.12668149471283, 21.659826850891115, 16.048383021354674, 14.144619512557984, 20.576501607894897, 21.86845259666443, 22.3893283367157, 23.876111268997192, 23.984774518013, 16.189723706245424, 22.451665782928465]","[0.2909865862454437, 0.9020994744577495, 0.3350837237013733, 0.22282211151907994, 0.29274482583419537, 0.3449733816493814, 0.15469777154537062, 0.25315787541182394, 0.20788467741368682, 0.30048632921327595, 0.7236362779681483, 0.19306919107417744, 0.22276120488140738, 0.18854981214871655, 0.4095941987234138, 0.21652025000604905, 0.8217031071143185, 0.28329230886287504, 0.14762178939487675, 0.543702684383614]","[28, 36, 31, 31, 27, 26, 34, 30, 33, 31, 31, 34, 36, 30, 26, 29, 30, 28, 31, 29]"
